"condition","signal","effect","effect_label","delta","method","n","mean","sd","mcse","ci_low","ci_high","median","q1","q3","min","max","above_070_n","prop_gt_070","prop_070_ci_low","prop_070_ci_high","prop_ge_080","prop_ge_090"
"Weak_0_5","Weak",0.3,"Weak (0.30)",0.5,"ctS-GIMME",500,0.842554757519663,0.141333686006744,0.00632063458843379,0.830136420974074,0.854973094065252,0.881857520168968,0.802811332277304,0.949562701387519,0,1,440,0.88,0.848580401375589,0.905625099873631,0.76,0.45
"Weak_0_5","Weak",0.3,"Weak (0.30)",0.5,"DT-GIMME (S-GIMME)",500,0.0376138546255478,0.0602776849355579,0.00269570002084445,0.0323175335653085,0.042910175685787,0.0185833317533186,-0.000868443358764427,0.0536764260483544,-0.0278952668680765,0.440153154652905,0,0,4.33680868994202e-19,0.00762434046155224,0,0
"Weak_1_0","Weak",0.3,"Weak (0.30)",1,"ctS-GIMME",500,0.954659321413416,0.0836787582340335,0.00374222783368138,0.94730685640081,0.962011786426022,1,0.949562701387519,1,0.478368847166344,1,484,0.968,0.948655130954558,0.980208486373429,0.954,0.902
"Weak_1_0","Weak",0.3,"Weak (0.30)",1,"DT-GIMME (S-GIMME)",500,0.235410553173229,0.178592033828558,0.00798687855761196,0.21971849812884,0.251102608217619,0.200966229866635,0.0919629643789155,0.342759211653813,-0.00906241482692828,0.951297325034023,6,0.012,0.0055109951740277,0.0259303611164473,0.008,0.006
"Weak_5_0","Weak",0.3,"Weak (0.30)",5,"ctS-GIMME",500,0.736040946317033,0.227050416964773,0.0101540033330581,0.716091077532387,0.755990815101679,0.804236284183116,0.562962962962963,0.949562701387519,0.0343858489006447,1,282,0.564,0.520209687543977,0.606814396876944,0.504,0.392
"Weak_5_0","Weak",0.3,"Weak (0.30)",5,"DT-GIMME (S-GIMME)",500,0.531238483416099,0.220024932259247,0.00983981410552926,0.51190591144111,0.550571055391087,0.527108191745299,0.403650634965742,0.655511950635,-0.00746456266558376,1,107,0.214,0.180302999987595,0.252058122756413,0.142,0.082
"Mid_0_5","Mid",0.6,"Moderate (0.60)",0.5,"ctS-GIMME",500,0.981306016913647,0.0549065461578972,0.00245549539237576,0.976481632946811,0.986130400880482,1,1,1,0.538795917986605,1,493,0.986,0.971386930862215,0.993202210209156,0.982,0.964
"Mid_0_5","Mid",0.6,"Moderate (0.60)",0.5,"DT-GIMME (S-GIMME)",500,0.730703476564919,0.195531041465389,0.00874441400855882,0.713523069355339,0.747883883774499,0.760665984958939,0.562962962962963,0.9000089198109,0.12890208175698,1,290,0.58,0.536289456803554,0.622490648722598,0.462,0.252
"Mid_1_0","Mid",0.6,"Moderate (0.60)",1,"ctS-GIMME",500,0.98564142078096,0.0493752723584796,0.00220812930802253,0.981303044230387,0.989979797331533,1,1,1,0.465426800190749,1,496,0.992,0.979612964165895,0.996884684819938,0.988,0.978
"Mid_1_0","Mid",0.6,"Moderate (0.60)",1,"DT-GIMME (S-GIMME)",500,0.950663267646856,0.111436022453326,0.00498357042695658,0.940871900356958,0.960454634936755,1,0.949562701387519,1,0.502562407009423,1,469,0.938,0.913340286898362,0.955980790857318,0.922,0.862
"Mid_5_0","Mid",0.6,"Moderate (0.60)",5,"ctS-GIMME",500,0.762387876065406,0.232034837181129,0.010376913381702,0.742000049356643,0.78277570277417,0.8542636675629,0.562962962962963,1,0.108269867688842,1,296,0.592,0.54837951228589,0.634217609069185,0.548,0.456
"Mid_5_0","Mid",0.6,"Moderate (0.60)",5,"DT-GIMME (S-GIMME)",500,0.893463929512385,0.166063767089614,0.0074265974362414,0.878872675254368,0.908055183770402,1,0.859207990333474,1,0.40650406504065,1,410,0.82,0.783925330017366,0.851195092087241,0.79,0.708
"Large_0_5","Large",0.9,"Large (0.90)",0.5,"ctS-GIMME",500,0.971438889975587,0.0872284061282126,0.00390097291343285,0.963774533839119,0.979103246112055,1,1,1,0.39243268589154,1,483,0.966,0.946228634498365,0.978665480191468,0.952,0.924
"Large_0_5","Large",0.9,"Large (0.90)",0.5,"DT-GIMME (S-GIMME)",500,0.965393161655723,0.08732369675634,0.00390523443987508,0.957720432773003,0.973065890538443,1,0.975199663724254,1,0.420870544693861,1,484,0.968,0.948655130954558,0.980208486373429,0.964,0.888
"Large_1_0","Large",0.9,"Large (0.90)",1,"ctS-GIMME",500,0.964045782639863,0.106329578687936,0.00475520331930275,0.954703094918306,0.973388470361419,1,1,1,0.445706794843784,1,472,0.944,0.920255206353293,0.960974379316848,0.936,0.928
"Large_1_0","Large",0.9,"Large (0.90)",1,"DT-GIMME (S-GIMME)",500,0.969849865822514,0.100537618652766,0.0044961789920707,0.961016090809651,0.978683640835376,1,1,1,0.562962962962963,1,473,0.946,0.922573438489353,0.962625649818942,0.946,0.916
"Large_5_0","Large",0.9,"Large (0.90)",5,"ctS-GIMME",500,0.725959797046386,0.25731146628239,0.0115073185999514,0.703351029981602,0.74856856411117,0.809211033610474,0.562962962962963,1,0.0247216363368813,1,274,0.548,0.50417540112498,0.591092662190711,0.504,0.412
"Large_5_0","Large",0.9,"Large (0.90)",5,"DT-GIMME (S-GIMME)",500,0.92245794338156,0.147463036934303,0.00659474749507329,0.909501049151847,0.935414837611273,1,0.901847473951493,1,0.378687495641258,1,436,0.872,0.839854314691842,0.898473176004763,0.852,0.764
