"signal","effect","effect_label","method","relation","metric","n","mean","sd","mcse","ci_low","ci_high","median","q1","q3","min","max"
"Weak",0.3,"Weak (0.30)","ctS-GIMME","True same-group pairs","stable_correct",500,0.811870175438597,0.151707126043865,0.00678454893010421,0.798540372751027,0.825199978126166,0.845614035087719,0.75921052631579,0.907017543859649,0.214035087719298,1
"Weak",0.3,"Weak (0.30)","ctS-GIMME","True same-group pairs","unstable",500,0.187305263157895,0.150858920980924,0.00674661604651232,0.174049988321603,0.200560537994187,0.153508771929825,0.0921052631578947,0.240350877192982,0,0.782456140350877
"Weak",0.3,"Weak (0.30)","ctS-GIMME","True same-group pairs","stable_wrong",500,0.000824561403508772,0.00354597407005692,0.000158580781341978,0.000512993081560397,0.00113612972545715,0,0,0,0,0.0298245614035088
"Weak",0.3,"Weak (0.30)","ctS-GIMME","True different-group pairs","stable_correct",500,0.794033333333333,0.171479780366647,0.00766880891333115,0.778966199067443,0.809100467599223,0.88,0.633333333333333,0.938333333333333,0,1
"Weak",0.3,"Weak (0.30)","ctS-GIMME","True different-group pairs","unstable",500,0.20439,0.170830861249364,0.00763978836816823,0.189379883252134,0.219400116747866,0.119583333333333,0.06125,0.365,0,1
"Weak",0.3,"Weak (0.30)","ctS-GIMME","True different-group pairs","stable_wrong",500,0.00157666666666667,0.0158903260028392,0.000710636982539621,0.000180457300748269,0.00297287603258506,0,0,0,0,0.333333333333333
"Weak",0.3,"Weak (0.30)","DT-GIMME (S-GIMME)","True same-group pairs","stable_correct",500,0.22919649122807,0.139713440972499,0.00624817502769823,0.216920518111116,0.241472464345024,0.214912280701754,0.118859649122807,0.305263157894737,0.00175438596491228,0.87719298245614
"Weak",0.3,"Weak (0.30)","DT-GIMME (S-GIMME)","True same-group pairs","unstable",500,0.729585964912281,0.120451561106389,0.00538675757259712,0.719002443987274,0.740169485837288,0.750877192982456,0.670175438596491,0.807017543859649,0.12280701754386,0.963157894736842
"Weak",0.3,"Weak (0.30)","DT-GIMME (S-GIMME)","True same-group pairs","stable_wrong",500,0.0412175438596491,0.0578313101364514,0.00258629481385956,0.0361361744251002,0.046298913294198,0.0192982456140351,0,0.0583333333333333,0,0.53859649122807
"Weak",0.3,"Weak (0.30)","DT-GIMME (S-GIMME)","True different-group pairs","stable_correct",500,0.291225,0.138133485098734,0.00617751725299447,0.279087850289708,0.303362149710292,0.279166666666667,0.193333333333333,0.367708333333333,0,0.833333333333333
"Weak",0.3,"Weak (0.30)","DT-GIMME (S-GIMME)","True different-group pairs","unstable",500,0.664008333333333,0.129216918436137,0.00577875626932498,0.652654641047636,0.67536202561903,0.673333333333333,0.587916666666667,0.761875,0.145,0.978333333333333
"Weak",0.3,"Weak (0.30)","DT-GIMME (S-GIMME)","True different-group pairs","stable_wrong",500,0.0447666666666667,0.0499014671523697,0.00223166145459343,0.0403820558160926,0.0491512775172407,0.0254166666666667,0.00666666666666667,0.0683333333333333,0,0.333333333333333
